Owner;Author's Last Name;Author's Name;Series;Order;Genre;Title;ISBN;Language;Type;Authors (other);Notes;Publisher;Ano;Original Language;Edição;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;2;Manga;Solo Leveling;;Portuguese;Paperback;Dubu;;Presença;;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;3;Manga;Solo Leveling;;Portuguese;Paperback;Dubu;;Presença;;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;4;Manga;Solo Leveling;;Portuguese;Paperback;Dubu;;Presença;;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;5;Manga;Solo Leveling;;Portuguese;Paperback;Dubu;;Presença;;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;6;Manga;Solo Leveling;_9789722372572;Portuguese;Paperback;Dubu;;Presença;;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;7;Manga;Solo Leveling;_9789722373296;Portuguese;Paperback;Dubu;;Presença;2024;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;8;Manga;Solo Leveling;_9789722374033;Portuguese;Paperback;Dubu;;Presença;2024;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;9;Manga;Solo Leveling;_9789722374774;Portuguese;Paperback;Dubu;;Presença;2024;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;10;Manga;Solo Leveling;_9789722375306;Portuguese;Paperback;Dubu;;Presença;2024;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Chugong;;;12;Manga;Solo Leveling;_9789722376310;Portuguese;Paperback;Dubu;;Presença;2025;Japanese;;;;;;;;;;;;;
Sérgio Lopes;Clare;Cassandra;Shadowhunters;;;The Lost Book of The White;_9781471162121;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Clare;Cassandra;;;;Sword Catcher;_9781529001402;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Clarke;Artur C.;;2;;Rama II;_9789897735462;Portuguese;Paperback;Lee, Gentry;Lançado em 2 partes;Saída de Emergência;2024;English;;;;;;;;;;;;;
Sérgio Lopes;Clarke;Artur C.;;;;2010 Odisseia 2;_9789897734472;Portuguese;Paperback;;;Saída de Emergência;2022;English;;;;;;;;;;;;;
Sérgio Lopes;Clarke;Artur C.;;;;O Fim da Infância;_9789892355108;Portuguese;Paperback;;;ASA II;2022;English;;;;;;;;;;;;;
Sérgio Lopes;Clarke;Artur C.;;1;;Rendez-vous com Rama;_9789897735011;Portuguese;Paperback;;;Saída de Emergência;2023;English;1;;;;;;;;;;;;
Sérgio Lopes;Cline;Ernest;;;;Ready Player Two;_9781784758028;English;Paperback;;;Penguin Random House;;;;;;;;;;;;;;;
Sérgio Lopes;Cline;Ernest;;;;Ready Player One;_9789722368230;English;Paperback;;Duplicado;;;;;;;;;;;;;;;;
Sérgio Lopes;Coelho;Paulo;;;;O Zahir;_9789727116795;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Coelho;Paulo;;;;A Morte - Matada, Morrida, Sofrida;_9789899861220;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Coelho;Paulo;;;;O Diário de um Mago;_9789722527965;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Condie;Ally;;;;Atlantia;_9780141352930;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Conrad;Joseph;;;;Lord Jim;_9780007449859;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Córdoba;Martín Casariego;;;;E Dizer-te uma Estupidez Qualquer, por exemplo, Amo-te;_9789722014579;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Cornwell;Bernard;;;;Shapes's Fury;_9780007899715;English;Paperback;;;Harper;;;;;;;;;;;;;;;
Sérgio Lopes;Cornwell;Bernard;;;;Stonehenge;_9789727312382;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Cussler;Clive;;;;O Navegador;_9789897731507;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;DeMarco;Tom;;;;Peopleware, Productive Projects and Teams;_9780321934116;English;Paperback;Lister, Timothy;;Addison -Wesley;2013;;3;;;;;;;;;;;;
Sérgio Lopes;Denning;Troy;A Master Chief Story;;;Shadows of Reach;_9781789096330;English;Paperback;;;Titan Books;2020;;1;;;;;;;;;;;;
Sérgio Lopes;Denning;Troy;A Master Chief Story;;Sci-fi;Halo: Silent Storm;_9781789090413;English;Paperback;;;Titan Books;2018;;1;;;;;;;;;;;;
Sérgio Lopes;Dias;Ricardo C.;;;;O Despertar do Caos;_9789897735912;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Doyle;Sir Arthur Conan;;;;The Lost World & Other Stories;_9781853262456;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Doyle;Sir Arthur Conan;;;;The Complete Illustrated Short Stories, Sherlock Holmes;_9780753709122;English;Hardcover;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Dumas;Alexandre;;;;Os Três Mosqueteiros;;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Duckworth;Michael;;;;Voodoo Island;;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Ende;Michael;;;;A História Interminável;_9789722368755;English;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Erikson;Steven;Saga do Império Malazano;1;Fantasy;Jardins da Lua;_9789896376277;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Faber;Adele;;;Non fiction;Como Falar para as Crianças Ouvirem e Ouvir para as Crianças Falarem;_9789899154073;Portuguese;Paperback;Mazelish, Elaine;;Alma Livros;2022;;2;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia;1;Fantasy;A Manopla de Karasthan;_9789722366298;Portuguese;Paperback;;;Editorial Presença;2020;;5;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia;2;Fantasy;Os Filhos do Flagelo;_9789722329644;Portuguese;Paperback;;;Editorial Presença;2024;;3;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia;3;Fantasy;Marés Negras;_9789722331221;Portuguese;Paperback;;;;;;;;;;;;;;;;;;
Sérgio Lopes;Faria;Filipe;Crónicas de Allaryia;4;Fantasy;A Essência da Lâmina;_9789722333634;Portuguese;Paperback;;;Editorial Presença;2005;;2;;;;;;;;;;;;
